#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1680262348587678500,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262348587678500,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262348920758300,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262348920758300,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262348920758300,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262349254366900,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262349254366900,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262349254366900,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262349587677300,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262349587677300,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262349587677300,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262349920526200,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262349920526200,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262349920526200,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262350253818700,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262350253818700,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262350253818700,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262350587740400,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262350587740400,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262350587740400,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262350587740400,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262350920463500,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262350920463500,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262350920463500,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
